FID,ID_ACCES,CODI_ACCES,NOM_ACCES,CODI_GRUP_ESTACIO,ID_ESTACIO,NOM_ESTACIO,ID_TIPUS_ACCESSIBILITAT,NOM_TIPUS_ACCESSIBILITAT,NUM_ASCENSORS,DATA,GEOMETRY
ACCESSOS.54,54,32802,Pg. de Gràcia / Pau Claris,6660328,328,Diagonal,3,No accessible,0,2022-03-31,POINT (2.1608068488020344 41.39563603149648)
ACCESSOS.2259,2259,32803,Pg. de Gràcia (escala mecànica),6660328,328,Diagonal,3,No accessible,0,2022-03-31,POINT (2.160571363558969 41.39535970323131)
ACCESSOS.55,55,32811,Diagonal / Rambla Catalunya,6660328,328,Diagonal,3,No accessible,0,2022-03-31,POINT (2.1598606559043443 41.396071580714604)
ACCESSOS.56,56,32812,Diagonal / Pau Claris,6660328,328,Diagonal,3,No accessible,0,2022-03-31,POINT (2.1601035461905296 41.396215788271924)
ACCESSOS.157,157,52101,Rambla Catalunya,6660328,328,Diagonal,1,Accessible,1,2022-03-31,POINT (2.1591010125461674 41.39440990660634)
ACCESSOS.158,158,52111,Rosselló / FGC,6660328,328,Diagonal,3,No accessible,0,2022-03-31,POINT (2.158879879524316 41.39424605733008)
ACCESSOS.57,57,32901,Gran de Gràcia / Astúries,6660329,329,Fontana,1,Accessible,0,2022-03-31,POINT (2.152678107276927 41.40258457283935)
ACCESSOS.58,58,33001,Septimània,6660330,330,Lesseps,3,No accessible,0,2022-03-31,POINT (2.1496107068433012 41.40620648074976)
ACCESSOS.331,331,33011,Plaça Lesseps,6660330,330,Lesseps,1,Accessible,1,2022-03-31,POINT (2.1502205519817297 41.40667385083013)
ACCESSOS.59,59,33101,Avinguda República Argentina,6660331,331,Vallcarca,1,Accessible,1,2022-03-31,POINT (2.1450426298249528 41.411410197592765)
ACCESSOS.60,60,33102,Gomis,6660331,331,Vallcarca,3,No accessible,0,2022-03-31,POINT (2.14455304549195 41.41178187582593)
ACCESSOS.332,332,33103,Avinguda Vallcarca + Parc Güell,6660331,331,Vallcarca,3,No accessible,0,2022-03-31,POINT (2.145264829649735 41.41169620434433)
ACCESSOS.61,61,33201,Avinguda Vallcarca,6660332,332,Penitents,3,No accessible,0,2022-03-31,POINT (2.1412754448802342 41.417503317458795)
ACCESSOS.62,62,33202,Anna Piferrer,6660332,332,Penitents,1,Accessible,1,2022-03-31,POINT (2.1409546293562167 41.4173874031846)
ACCESSOS.63,63,33301,Mercat de Vall d'Hebron,6660333,333,Vall d'Hebron,1,Accessible,1,2022-03-31,POINT (2.1429640450408893 41.424867681813545)
ACCESSOS.111,111,53401,Residència Sanitària,6660333,333,Vall d'Hebron,1,Accessible,1,2022-03-31,POINT (2.142156703324202 41.425372374065084)
ACCESSOS.339,339,53402,Avinguda Jordà,6660333,333,Vall d'Hebron,3,No accessible,0,2022-03-31,POINT (2.141713655986979 41.42467469635589)
ACCESSOS.66,66,33402,Residència Sanitària / Llars Mundet,6660334,334,Montbau,1,Accessible,1,2022-03-31,POINT (2.1445523923106977 41.43041822207714)
ACCESSOS.641,641,33403,Palau  Olímpic Vall d'Hebron,6660334,334,Montbau,1,Accessible,0,2022-03-31,POINT (2.1454845839158647 41.430503617511576)
ACCESSOS.192,192,33501,Can Marcet,6660335,335,Mundet,1,Accessible,0,2022-03-31,POINT (2.1480892234435918 41.43495279987751)
ACCESSOS.193,193,33502,Salesians,6660335,335,Mundet,1,Accessible,0,2022-03-31,POINT (2.1484250021996574 41.435343747976944)
ACCESSOS.194,194,33503,Passeig Vall d'Hebron,6660335,335,Mundet,1,Accessible,1,2022-03-31,POINT (2.1472279054339625 41.43553737456102)
ACCESSOS.195,195,33601,Passeig Valldaura,6660336,336,Valldaura,1,Accessible,1,2022-03-31,POINT (2.156426119299251 41.43762092298766)
ACCESSOS.196,196,33701,Via Favència,6660337,337,Canyelles,1,Accessible,1,2022-03-31,POINT (2.166593311352566 41.44193270077403)
ACCESSOS.197,197,33711,García Lorca,6660337,337,Canyelles,3,No accessible,0,2022-03-31,POINT (2.1651883230251405 41.441694633488886)
ACCESSOS.86,86,33801,Vidal i Guasch,6660338,338,Roquetes,1,Accessible,1,2022-03-31,POINT (2.1770662586806546 41.44809123519064)
ACCESSOS.84,84,33811,Jaume Pinent,6660338,338,Roquetes,1,Accessible,1,2022-03-31,POINT (2.1748775158004037 41.446849144353656)
ACCESSOS.85,85,33812,Carrer de les Torres,6660338,338,Roquetes,3,No accessible,0,2022-03-31,POINT (2.1760808609839555 41.44692796636725)
ACCESSOS.83,83,33901,Palamós,6660339,339,Trinitat Nova,1,Accessible,0,2022-03-31,POINT (2.1843473021666466 41.44942083503193)
ACCESSOS.130,130,43401,Pedrosa,6660339,339,Trinitat Nova,1,Accessible,0,2022-03-31,POINT (2.1832876951287985 41.44920925074595)
ACCESSOS.131,131,43402,Aiguablava,6660339,339,Trinitat Nova,3,No accessible,0,2022-03-31,POINT (2.181713598014566 41.4486587084232)
ACCESSOS.335,335,41401,Gran Via de les Corts Catalanes,6660414,414,Besòs,3,No accessible,0,2022-03-31,POINT (2.2102828419801326 41.42034012902514)
ACCESSOS.210,210,41402,Tram Besòs,6660414,414,Besòs,1,Accessible,1,2022-03-31,POINT (2.2098483543534213 41.42026437685945)
ACCESSOS.68,68,41501,Jaume Fabre,6660415,415,Besòs Mar,1,Accessible,1,2022-03-31,POINT (2.2166777693806643 41.414530716623666)
ACCESSOS.69,69,41511,Ferrer Bassa,6660415,415,Besòs Mar,3,No accessible,0,2022-03-31,POINT (2.21541421701844 41.41568433295783)
ACCESSOS.70,70,41601,Rambla de Prim,6660416,416,El Maresme | Fòrum,1,Accessible,1,2022-03-31,POINT (2.2175767847471763 41.41220882345698)
ACCESSOS.71,71,41611,Avinguda Diagonal,6660416,416,El Maresme | Fòrum,3,No accessible,0,2022-03-31,POINT (2.2160630670103947 41.411732588322984)
ACCESSOS.72,72,41701,Selva de Mar,6660417,417,Selva de Mar,3,No accessible,0,2022-03-31,POINT (2.2095668767194434 41.40821406823348)
ACCESSOS.67,67,41711,Provençals,6660417,417,Selva de Mar,1,Accessible,1,2022-03-31,POINT (2.2083583462233545 41.40777282064736)
ACCESSOS.73,73,41801,Pujades / Bilbao,6660418,418,Poblenou,1,Accessible,1,2022-03-31,POINT (2.202940589771111 41.40351070286831)
ACCESSOS.74,74,41901,Pujades / Ciutat de Granada,6660419,419,Llacuna,1,Accessible,1,2022-03-31,POINT (2.197267337323021 41.39920826558605)
ACCESSOS.75,75,42001,Pujades / Pere IV,6660420,420,Bogatell,3,No accessible,0,2022-03-31,POINT (2.191566344480914 41.39488392326392)
ACCESSOS.1922,1922,42011,Pujades,6660420,420,Bogatell,1,Accessible,1,2022-03-31,POINT (2.1926279946926095 41.39548720974127)
ACCESSOS.76,76,42101,Avinguda Icària,6660421,421,Ciutadella | Vila Olímpica,3,No accessible,0,2022-03-31,POINT (2.1934139603588205 41.387903375455274)
ACCESSOS.77,77,42102,Zoo,6660421,421,Ciutadella | Vila Olímpica,3,No accessible,0,2022-03-31,POINT (2.193053918835433 41.38815523473655)
ACCESSOS.78,78,42201,Plaça Pau Vila,6660422,422,Barceloneta,1,Accessible,1,2022-03-31,POINT (2.1858192894438697 41.38236821843024)
ACCESSOS.79,79,42301,Plaça de l'Àngel,6660423,423,Jaume I,1,Accessible,1,2022-03-31,POINT (2.1784429898771593 41.38382347679052)
ACCESSOS.80,80,42311,Argenteria,6660423,423,Jaume I,1,Accessible,1,2022-03-31,POINT (2.1792694422401935 41.383817813127976)
ACCESSOS.114,114,42601,Consell de Cent,6660426,426,Girona,1,Accessible,1,2022-03-31,POINT (2.170834416676432 41.394835322546584)
ACCESSOS.115,115,42602,Girona,6660426,426,Girona,3,No accessible,0,2022-03-31,POINT (2.1714370252055546 41.39466633754326)
ACCESSOS.116,116,42701,Passeig Sant Joan,6660427,427,Verdaguer,3,No accessible,0,2022-03-31,POINT (2.168743126712873 41.399896785795484)
